Designator,Footprint,Quantity,Value,LCSC Part #
"_29, _28, _27, _26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,29,,
"C1, C2",0603,2,10μF,
"CONN1_2, CONN1",Molex_Pico_EZMate_Plus_1x02,2,Battery Connector,
"D1, D2, D3, D8",D_MMBD4148PLM,4,,
D5,SOT-23,1,,
D6,BAV70 SOT23,1,BAV70,
"FID3, FID4",FIDUCIAL_1MM,2,FIDUCIAL_1MM,
"J1_2, J2, J3_2, J4",xiao_plus_cutout,4,,
"J1, J2_2, J3, J4_2",my_mount_hole_M2_pad,4,Conn_01x01_Pin,
JP3,1X09_ROUND_70,1,,
"JST1_3, JST1_2, JST1",battery_connector_jst_ph_2,3,,
L1,L_CJIANG_FTC404030S_4.1x4.1x3.0_SMD,1,2.2μH,
"MCU1, MCU2, MCU3",XIAO_Breakout_Holes,3,,
R1,0603,1,470kΩ,
R2,0603,1,51kΩ,
"S1, S3, S5, S7, S9",PG1316S_Square_Pads,5,,
"U$25, U$27, U$29, U$30",MOUNTINGHOLE_2.5_PLATED,4,MOUNTINGHOLE2.5,
U$32,ADAFRUIT_3.5MM,1,,
U$33,PCBFEAT-REV-040,1,,
U1,SOT-23-6,1,TLV61070ADBV,
U2,SOT-23-5,1,SN74LV1T126DBVR,
X1,ENCODER_ANO,1,ENCODER_ANO,
"XX17, XX18_2, XX18, XX19_3, XX19_2, XX19, XX21_3, XX21_2, XX21, XX22",5diode_Breakout_Holes,10,,
